space_id,barboard_name,space_name,team,bilibili_id,bilibili_name,chart_id
7,威妈,williw_,"All, BarboardLab, 村摇欧共体",6594528,williw_,25
12,锴妈,WillKris锴,"All, BarboardLab",22061562,WillKris锴,12
13,叉妈,PRONGS,"All, BarboardLab, Indienation",345327392,prongs1213,3139
17,雨妈,Lee翼雨,"All, BarboardLab, 村摇欧共体",2519003,Lee翼雨,11
18,猴妈,Voiiz,"All, BarboardLab, 村摇欧共体",3493557,Voiiz,18
19,柠妈,LemonSheeran,"All, BarboardLab, 村摇欧共体",6853403,LemonSheeran,13
20,包妈,Jeremy_BAg,"All, BarboardLab, 村摇欧共体, Indienation",39448909,09BAg,20
27,S妈,哈哈哈时光机,"All, BarboardLab, 村摇欧共体",1377148207,哈哈哈时光机,2511
31,邓妈,DuncanLee,"All, BarboardLab, 村摇欧共体",38609426,DuncanLee,3082
33,笃妈,吃辣喝香,"All, BarboardLab",10126698,吃辣喝香,3138
40,猹妈,ChArLiE,All,,,4
45,星妈,白矮星爱吃东西,"All, BarboardLab, Indienation","1098017777, 226666754","重生的白矮星, 白矮星爱吃东西",2392
67,韩妈,SouthkoreaBall,"All, BarboardLab, 村摇欧共体",123079383,SouthKoreaball,3047
68,团妈,不动团子,"All, BarboardLab, Indienation",14745732,不动团子,1696
77,白妈,白哼唧,"All, BarboardLab",92909617,白哼唧,3155
88,X妈,xjebs,"All, BarboardLab, 村摇欧共体",25157238,xjebs,3108
100,羊妈,SeafishYANG,"All, BarboardLab, 村摇欧共体, Indienation",11254817,SeafishYANG,2757
101,波妈,ww_micro_微波,"All, BarboardLab",631917101,微波子,1178
102,奶妈,奶儿少爷,All,22131405,奶儿少爷,1200
103,汞妈,Hg,"All, 村摇欧共体",352353515,StickSeason13,1331
104,P妈,PROKING,"All, BarboardLab, Indienation",158058457,Pro_king,104
105,松妈,Squirrel松鼠,"All, BarboardLab, 村摇欧共体",20531380,xs小小松鼠,1648
106,甲妈,杰克甲,"All, Indienation",354502867,seigfried_ocean,1949
107,L妈,Lone,"All, 村摇欧共体",620764570,Christy5614,1966
108,圈妈,TimCircles6,"All, BarboardLab",475243221,TimCircles6,2089
109,雪妈,Sprite,"All, Indienation",,,2189
110,芬妈,Stephen,"All, 村摇欧共体",470864039,Fanta_Stephen,2193
111,虎妈,老白虎qwq,"All, Indienation",319499933,想玩动物森友会,2218
112,健妈,健Jian-,"All, Indienation, BarboardLab",331215924,健Jian-,2420
113,狼妈,Aaowu_,"All, 村摇欧共体",291215885,Aaowu_,2537
114,黑妈,Blackout,All,,,2861
115,T妈,iTAP_II,"All, BarboardLab, Indienation",519447508,iTAP_II,2869
