year,edition_no,edition_name,version,match,venue,place,member,artist,song,score,note
2020,4,The 4th Barvision Unplugged,unplugged,E,常规娱乐版,冠军,小妈,Lana Del Rey,West Coast,134,
2020,4,The 4th Barvision Unplugged,unplugged,E,常规娱乐版,亚军,雨妈,Eagles,Hotel California,129.1,
2020,4,The 4th Barvision Unplugged,unplugged,E,常规娱乐版,季军,晕妈,Ace Baby,Flight to Aruba,120,
2020,3,The 3rd Barvision Unplugged,unplugged,E,常规娱乐版,冠军,雨妈,Free-Out,Free-Out 2019 Cypher,151.7,
2020,3,The 3rd Barvision Unplugged,unplugged,E,常规娱乐版,亚军,猴妈,King Princess,1950,145.9,
2020,3,The 3rd Barvision Unplugged,unplugged,E,常规娱乐版,季军,小妈,Azalea Banks,212,139,
2020,3,The 3rd Barvision Unplugged,unplugged,E Mini,迷你娱乐版,冠军,泰妈,许巍,蓝莲花,117,
2020,3,The 3rd Barvision Unplugged,unplugged,E Mini,迷你娱乐版,亚军,锴妈,徐佳莹,身骑白马,104,
2020,3,The 3rd Barvision Unplugged,unplugged,E Mini,迷你娱乐版,季军,田妈,周杰伦,青花瓷,98,
2019,2,The 2nd Barvision Unplugged,unplugged,E,常规娱乐版,冠军,包妈,Markus Feehily,Butterfly,107,
2019,2,The 2nd Barvision Unplugged,unplugged,E,常规娱乐版,亚军,城妈,Pablo Alboran,Solamente tu,105,
2019,2,The 2nd Barvision Unplugged,unplugged,E,常规娱乐版,季军,麦妈,Gorillaz,On Melancholy Hill,81,
2019,1,The 1st Barvision Unplugged,unplugged,E,常规娱乐版,冠军,瑞妈,Charli XCX,Boom Clap,84.5,
2019,1,The 1st Barvision Unplugged,unplugged,E,常规娱乐版,亚军,田妈,Brantley Gilbert,Bottoms Up,69,
2019,1,The 1st Barvision Unplugged,unplugged,E,常规娱乐版,季军,胖妈,Nelly Furtado,Maneater,67.1,
