Vol.,冠序,日期,冠单艺术家,冠单歌曲名称,冠单所属专辑,冠周,榜数,冠军点数,前10点数和,第10名点数,前50点数和,第50名点数,前100点数和
1,1,2024-01-05,Dua Lipa,Houdini,Radical Optimism,1,8189.5,1159.82 ,8603.43 ,638.90 ,25925.83 ,342.97 ,39638.01 
2,1,2024-01-12,Dua Lipa,Houdini,Radical Optimism,2,8189.5,1147.57 ,8419.23 ,672.31 ,25110.53 ,323.03 ,38054.35 
3,2,2024-01-19,Ariana Grande,"yes, and?",Eternal Sunshine,1,8189.5,2092.15 ,10386.49 ,664.96 ,26681.49 ,307.22 ,39183.49 
4,2,2024-01-26,Ariana Grande,"yes, and?",Eternal Sunshine,2,8189.5,1769.22 ,9932.72 ,624.44 ,26993.03 ,328.49 ,40038.53 
5,2,2024-02-02,Ariana Grande,"yes, and?",Eternal Sunshine,3,8189.5,1789.36 ,10456.95 ,607.96 ,28048.83 ,349.38 ,41443.20 
6,2,2024-02-09,Ariana Grande,"yes, and?",Eternal Sunshine,4,8189.5,1754.47 ,10836.13 ,719.29 ,28996.86 ,351.85 ,42672.77 
7,2,2024-02-16,Ariana Grande,"yes, and?",Eternal Sunshine,5,8189.5,1722.22 ,10761.69 ,725.47 ,29256.78 ,355.46 ,43737.85 
8,2,2024-02-23,Ariana Grande,"yes, and?",Eternal Sunshine,6,8189.5,1696.12 ,11768.28 ,847.96 ,31242.68 ,354.64 ,45528.78 
9,2,2024-03-01,Ariana Grande,"yes, and?",Eternal Sunshine,7,8189.5,1437.36 ,11371.16 ,903.41 ,31956.94 ,373.50 ,46811.35 
10,2,2024-03-08,Ariana Grande,"yes, and?",Eternal Sunshine,8,8189.5,1550.41 ,11094.93 ,921.52 ,30794.93 ,353.07 ,45122.88 
11,2,2024-03-15,Ariana Grande,"yes, and?",Eternal Sunshine,9,8187,2026.40 ,12992.30 ,946.26 ,34962.81 ,378.97 ,50237.80 
