number,artist,album,rate
25,Taylor Swift,The Tortured Poets Department,80.6%
18,Ariana Grande,eternal sunshine,100.0%
15,Lady Gaga,MAYHEM,88.2%
12,Taylor Swift,The Life of a Showgirl,100.0%
12,Charli xcx,BRAT,66.7%
12,Morgan Wallen,I'm the Problem,32.4%
11,Sabrina Carpenter,Man's Best Friend,91.7%
11,Harry Styles,"Kiss All the Time. Disco, Occasionally.",91.7%
11,JADE,THAT'S SHOWBIZ BABY!,78.6%
11,Magdalena Bay,Imaginal Disk,73.3%
11,ROSALÍA,LUX,73.3%
11,The Weeknd,Hurry Up Tomorrow,50.0%
11,SZA,SOS Deluxe: LANA,28.9%
10,FKA twigs,EUSEXUA,90.9%
10,Lorde,Virgin,90.9%
10,Sabrina Carpenter,Short 'n' Sweet (Deluxe),62.5%
10,Sam Fender,People Watching (Deluxe Edition),52.6%
10,Tate McRae,So Close to What???,47.6%
9,Big Thief,Double Infinity,100.0%
9,Billie Eilish,HIT ME HARD AND SOFT,90.0%
9,Mitski,Nothing's About To Happen To Me,81.8%
9,Holly Humberstone,Cruel World,75.0%
9,Twenty One Pilots,Clancy,69.2%
9,HAIM,I quit,60.0%
8,Dua Lipa,Radical Optimism,72.7%
8,Kendrick Lamar,GNX,66.7%
8,Miley Cyrus,Something Beautiful,61.5%
7,Vampire Weekend,Only God Was Above Us,70.0%
7,Linkin Park,From Zero,63.6%
7,Charli xcx,Wuthering Heights,58.3%
7,Doja Cat,Vie,46.7%
7,Oklou,Choke Enough (Deluxe),41.2%
7,Zach Bryan,The Great American Bar Scene,36.8%
7,Taylor Swift,1989 (Taylor's Version),33.3%
