number,artist,volume
31,Taylor Swift,2024-01-05
24,Taylor Swift,2024-04-26
19,Taylor Swift,2024-05-03
17,Taylor Swift,2024-01-12
14,Lady Gaga,2025-03-14
13,Ariana Grande,2024-03-15
13,Taylor Swift,2024-05-17
12,Ariana Grande,2024-03-22
12,Taylor Swift,2024-05-10
12,Taylor Swift,2025-10-10
12,Taylor Swift,2025-10-17
12,Wolf Alice,2026-01-09
11,Ariana Grande,2024-04-05
11,Magdalena Bay,2024-08-30
11,Sabrina Carpenter,2025-09-05
11,ROSALÍA,2025-11-14
10,Ariana Grande,2024-03-29
10,Charli xcx,2024-10-18
10,FKA twigs,2025-01-31
10,The Weeknd,2025-02-07
10,Danielle Haim,2025-06-27
10,Lorde,2025-07-04
10,JADE,2025-09-19
