Points,Artist(s),Song,Volume,Ranking
1996.46,Chappell Roan,Pink Pony Club,2025-02-07,2
1895.93,Taylor Swift & Florence + The Machine,Florida!!!,2024-04-26,2
1808.16,Vampire Weekend,Capricorn,2024-04-12,2
1803.89,Ariana Grande,Twilight Zone,2024-04-11,3
1799.01,"LISA, Doja Cat & RAYE",Born Again,2025-03-07,4
1792.79,Chappell Roan,The Giver,2025-03-21,4
1750.68,Miley Cyrus & Brittany Howard,Walk of Fame,2025-06-06,3
1739.54,Lady Gaga,Shadow of a Man,2025-03-14,4
1726.38,Charli xcx & Billie Eilish,Guess,2024-08-23,2
1715.52,Lorde,Shapeshifter,2025-07-04,2
1675.13,Sabrina Carpenter,Taste,2024-10-04,3
1661.76,Linkin Park,The Emptiness Machine,2024-11-22,2
1651.66,Dua Lipa,Training Season,2024-03-22,3
1613.35,Chappell Roan,"Good Luck, Babe!",2024-07-26,3
1607.08,Kendrick Lamar & Lefty Gunplay,tv off,2025-02-14,5
